name,citycode,dongcode,lng,lat
낙성대시장,11620,11620585,126.9561453,37.47818636
봉천제일종합시장,11620,11620595,126.9451314,37.48114608
도곡시장,11680,11680650,127.0514654,37.49749189
강남개포시장,11680,11680670,127.068579,37.48922096
화곡본동시장,11500,11500590,126.84388,37.54336006
까치산시장,11500,11500593,126.8471834,37.53260645
송화골목시장,11500,11500611,126.8355499,37.5493494
중부시장,11620,11620575,126.9561869,37.48444839
방신전통시장,11500,11500630,126.8124997,37.57141647
공항시장,11500,11500640,126.8082778,37.5624538
독산동 우시장,11545,11545610,126.8965687,37.46689561
남문시장,11545,11545630,126.9011039,37.47366608
푸른터시장,11545,11545630,126.9014147,37.47806327
대명시장,11545,11545670,126.9022598,37.45414213
현대시장,11545,11545670,126.902855,37.45710695
박미시장,11545,11545690,126.9051143,37.44018775
은행나무시장,11545,11545710,126.9095531,37.45130975
강남시장_강남,11680,11680510,127.0206893,37.51878302
녹번시장,11380,11380580,126.9311147,37.60101675
신응암시장,11380,11380590,126.9185975,37.59424233
대림골목시장,11380,11380600,126.9172919,37.58709656
새마을시장,11710,11710650,127.0848727,37.50905053
노량진중앙시장,11590,11590510,126.9446676,37.5121495
본동인정시장,11590,11590510,126.9506286,37.51178273
신노량진시장,11590,11590520,126.9396938,37.50849799
강남시장_동작,11590,11590530,126.9533864,37.49692627
상도전통시장,11590,11590530,126.9521184,37.49916026
영도시장,11590,11590540,126.9404888,37.5042907
성대시장,11590,11590550,126.9313096,37.49976268
증산종합시장,11380,11380640,126.9052407,37.58168154
수일시장,11380,11380650,126.8951401,37.58309657
관악신사시장,11620,11620685,126.9168492,37.48619323
신림종합시장,11620,11620685,126.9170657,37.48465266
강남골목시장,11620,11620725,126.9048232,37.48267022
신림중앙시장,11620,11620725,126.911561,37.48327012
삼성동시장,11620,11620745,126.9323535,37.47079586
신신림시장,11620,11620745,126.932071,37.47072362
미성동도깨비시장,11620,11620765,126.9165233,37.47426364
우림시장,11620,11620775,126.9203826,37.47022077
영진시장A동,11560,11560680,126.9157478,37.50035628
우리시장,11560,11560700,126.9047825,37.49688808
대림중앙시장,11560,11560710,126.8993625,37.49085586
구로시장,11530,11530550,126.8853553,37.48899603
남구로시장,11530,11530550,126.886326,37.49011422
가리봉시장,11530,11530595,126.8893464,37.48157553
고척근린시장,11530,11530730,126.8504797,37.50227391
개봉중앙시장,11530,11530750,126.8538241,37.49229495
오류시장,11530,11530770,126.8432085,37.49655211
풍납시장,11710,11710510,127.1195047,37.53731204
마천시장,11710,11710550,127.1508126,37.49816368
방이시장,11710,11710562,127.1155043,37.51114191
석촌시장,11710,11710600,127.1067567,37.50010382
목4동시장,11470,11470540,126.8663622,37.53798165
신영시장,11470,11470560,126.8358121,37.53298763
월정로시장,11470,11470560,126.8341038,37.53295821
상도4동도깨비골목시장,11590,11590560,126.9373922,37.50161312
흑석시장,11590,11590605,126.9633441,37.50729135
남성사계시장,11590,11590630,126.9808343,37.48823018
사당시장,11590,11590650,126.9751372,37.48300327
남부종합시장,11650,11650590,126.9848923,37.49477208
양재시장,11650,11650651,127.0383066,37.48407188
등마루시장,11500,11500520,126.8601607,37.55670622
신월중앙시장,11500,11500535,126.8443457,37.55884882
종로?청계 관광특구,11110,11110615,126.9973739,37.56999761
남성역골목시장,11590,11590650,126.9724574,37.48348922
잠실 관광특구,11710,11710566,127.1152749,37.51647607
강남 마이스 관광특구,11680,11680580,127.0600594,37.51100291
이태원 관광특구,11170,11170650,126.9943769,37.53443511
명동 남대문 북창동 다동 무교동 관광특구,11140,11140520,126.9818562,37.56414878
동대문패션타운 관광특구,11140,11140590,127.0110248,37.56731216
삼양로93길,11305,11305660,127.015726,37.63864303
덕릉로60길,11320,11320513,127.0413079,37.63674478
도당로13가길,11320,11320700,127.0371762,37.66671284
도당로13바길,11320,11320700,127.035159,37.66736217
도당로19길,11320,11320690,127.0396031,37.66925282
도당로29길,11320,11320690,127.0423913,37.6690266
도봉로156길,11320,11320522,127.0454201,37.6730979
도봉로169나길,11320,11320521,127.043507,37.67747739
도봉로181길,11320,11320521,127.0437378,37.68449592
도봉산4길,11320,11320521,127.0421759,37.68912751
도봉산길,11320,11320521,127.0425375,37.68695603
명동길,11140,11140550,126.98661,37.56426654
삼일대로4길,11140,11140605,126.9895417,37.56298743
독산로50길,11545,11545700,126.909822,37.4626537
청림3길,11620,11620545,126.9590106,37.48976535
행운1길,11620,11620575,126.9565615,37.48185362
목동중앙북로16길,11470,11470520,126.8737171,37.5444409
목동중앙북로8길,11470,11470530,126.8645699,37.54677336
오패산로4길,11290,11290725,127.0396137,37.60384129
노해로17길,11305,11305630,127.020451,37.64044428
노해로23길,11305,11305620,127.0216193,37.6446877
성덕정17길,11200,11200670,127.0573305,37.53661076
성덕정길,11200,11200650,127.0480315,37.53898454
성수이로18길,11200,11200690,127.0598692,37.54190738
목동로9길,11470,11470650,126.8630624,37.5233276
목동중앙남로3가길,11470,11470540,126.8646295,37.53880859
목동중앙로13나길,11470,11470520,126.8808109,37.54515105
목동중앙로3길,11470,11470540,126.8684903,37.53741641
사당로29길,11590,11590640,126.9777595,37.48569781
원신길,11620,11620745,126.9302324,37.46637968
소담길,11620,11620595,126.9429066,37.47784733
금하로24길,11545,11545710,126.9084155,37.44816433
남부순환로112길,11545,11545510,126.8935918,37.47763301
독산로108길,11545,11545630,126.9073935,37.47961784
독산로40길,11545,11545700,126.906671,37.46050684
답십리로23길,11230,11230560,127.0509436,37.5782758
답십리로56길,11230,11230610,127.0584993,37.56996512
답십리로60길,11230,11230610,127.0630605,37.56920594
답십리로63길,11230,11230660,127.0687486,37.57544666
장한로26가길,11230,11230660,127.0703948,37.56850803
장한로26길,11230,11230650,127.0745855,37.57104626
장한로27가길,11230,11230660,127.0707068,37.57522025
장한로27길,11230,11230660,127.0694258,37.57332893
면목로17길,11215,11215760,127.0812849,37.56939302
아차산로40길,11215,11215820,127.0779903,37.53618446
여의대방로22길,11590,11590680,126.9245269,37.49708255
여의대방로22나길,11590,11590680,126.9220621,37.49663945
여의대방로22카길,11590,11590680,126.9266199,37.49618286
여의대방로24길,11590,11590660,126.9235075,37.49869469
구로중앙로19길,11530,11530530,126.888661,37.49390968
서초대로4길,11650,11650610,126.9853468,37.48346449
서초대로64길,11650,11650510,127.0210102,37.49341066
답십리로68길,11230,11230650,127.0682112,37.56959951
답십리로69길,11230,11230660,127.0730734,37.57591258
답십리로72길,11230,11230650,127.0720812,37.56837186
망우로18가길,11230,11230730,127.0603807,37.58686682
망우로18길,11230,11230730,127.0616389,37.58862311
망우로21길,11230,11230720,127.0612328,37.59044333
무학로45길,11230,11230536,127.0283254,37.58021152
사가정로13길,11230,11230570,127.0590497,37.57883965
사가정로23가길,11230,11230660,127.071051,37.5800674
사가정로2길,11230,11230600,127.0530427,37.56906671
서울시립대로16길,11230,11230560,127.0537967,37.57870701
서울시립대로29길,11230,11230560,127.0546963,37.58588751
한천로124나길,11305,11305590,127.0309872,37.63809942
겸재로29길,11260,11260565,127.0862208,37.58958078
겸재로36길,11260,11260565,127.0861949,37.58672466
겸재로54길,11260,11260565,127.0913583,37.58713523
삼양로24길,11305,11305555,127.0234463,37.61738748
동일로130길,11260,11260600,127.082326,37.59992695
동일로139가길,11260,11260610,127.0779827,37.6048493
동일로139길,11260,11260610,127.0761687,37.60286831
구로중앙로28길,11530,11530560,126.8879169,37.49999978
구로중앙로34길,11530,11530560,126.8862634,37.50158397
왕십리로31길,11200,11200520,127.0282059,37.56372334
왕십리로6길,11200,11200660,127.0467348,37.546148
용답29길,11200,11200790,127.0537528,37.56493982
용답중앙길,11200,11200790,127.0506748,37.56588723
장터길,11200,11200615,127.0186944,37.54828213
무학로16길,11230,11230536,127.0320801,37.57120962
오패산로52길,11305,11305545,127.0323187,37.6257105
공릉로2길,11260,11260620,127.0792357,37.61169599
답십리로75길,11260,11260540,127.0815508,37.57442039
면목로78길,11260,11260565,127.0896764,37.59142524
봉우재로33길,11260,11260590,127.0879476,37.59446289
봉화산로4길,11260,11260610,127.0756559,37.59973319
봉화산로56길,11260,11260680,127.0974735,37.60546551
사가정로42길,11260,11260570,127.082767,37.5789155
사가정로54길,11260,11260570,127.0885182,37.57910054
신내로7가길,11260,11260580,127.0935963,37.60218904
도봉로152가길,11320,11320522,127.0456822,37.67546738
동일로140길,11260,11260600,127.0804174,37.60471252
동일로149길,11260,11260630,127.074791,37.60679751
동일로157길,11260,11260630,127.0770028,37.61005767
가산로3길,11545,11545610,126.8905597,37.47140426
가산로5길,11545,11545510,126.8922528,37.47318982
금하로14길,11545,11545670,126.9043202,37.45152187
금하로1길,11545,11545610,126.8909027,37.45320415
청계천로10나길,11200,11200540,127.0354984,37.570623
한강대로104길,11170,11170530,126.9742435,37.55036211
한강대로15길,11170,11170625,126.9634027,37.52614036
사근동길,11200,11200550,127.0458044,37.56060938
상원12길,11200,11200660,127.0484916,37.55052615
상원길,11200,11200660,127.0497123,37.54830918
서울숲2길,11200,11200660,127.0424692,37.54698754
봉화산로30길,11260,11260600,127.0851008,37.60033042
학동로38길,11680,11680531,127.0342833,37.51282423
개봉로11길,11530,11530760,126.853606,37.48815005
개봉로17길,11530,11530750,126.8529662,37.49153704
토정로37길,11440,11440590,126.9432766,37.54168368
효창원로93길,11440,11440565,126.9608573,37.54779959
동남로65길,11740,11740540,127.1546019,37.54795715
동작대로17길,11590,11590620,126.9794222,37.48342757
동작대로29길,11590,11590630,126.9781544,37.48859012
동작대로33길,11590,11590630,126.9806982,37.4900592
동작대로35길,11590,11590630,126.9793972,37.49215833
동작대로7길,11590,11590620,126.9784513,37.47847185
등용로14길,11590,11590660,126.9339454,37.51169349
강남대로23길,11650,11650651,127.0369231,37.475756
선유서로25길,11560,11560610,126.8837513,37.52438592
곰달래로5길,11470,11470560,126.8317356,37.53456765
남부순환로33길,11470,11470600,126.8308793,37.53799022
남부순환로40길,11470,11470580,126.8274602,37.53397583
남부순환로58길,11470,11470580,126.8304774,37.53059244
남부순환로70길,11470,11470611,126.8346006,37.52317404
남부순환로79길,11470,11470610,126.8416631,37.51616491
삼성로69길,11680,11680630,127.057066,37.50134562
삼성로75길,11680,11680630,127.0560383,37.50316615
선릉로121길,11680,11680531,127.0409459,37.51364202
선릉로132길,11680,11680565,127.0440142,37.51874059
선릉로133길,11680,11680531,127.0381204,37.51812996
선릉로146길,11680,11680565,127.0437675,37.5225249
양천로73가길,11500,11500510,126.874861,37.55061395
남부순환로234길,11620,11620585,126.9577624,37.47743911
마포대로12길,11440,11440555,126.9547016,37.5473559
마포대로20길,11440,11440565,126.9573926,37.55130328
천호대로197길,11740,11740685,127.1474985,37.53808228
천호대로219길,11740,11740520,127.1717108,37.54743796
천호옛14길,11740,11740650,127.1246735,37.53613539
천호옛길,11740,11740650,127.1236063,37.53390203
풍성로37가길,11740,11740650,127.128345,37.53277974
국회단지길,11620,11620605,126.9411909,37.48874869
중앙로32길,11470,11470620,126.8610416,37.52114481
강서로5나길,11500,11500540,126.8421007,37.52854526
강서로5라길,11500,11500550,126.8544069,37.52990356
강서로8길,11500,11500593,126.8502667,37.5296371
개화동로23길,11500,11500640,126.8086872,37.5661035
개화동로25길,11500,11500640,126.8083301,37.56412073
곰달래로25길,11500,11500593,126.8487118,37.53210386
영등포로80길,11560,11560630,126.9199989,37.51202725
난향길,11620,11620715,126.9168864,37.46283908
남부순환로142길,11620,11620765,126.9130344,37.48023482
남부순환로151길,11620,11620685,126.9159024,37.48356161
남부순환로161길,11620,11620685,126.9196443,37.48405977
남부순환로172길,11620,11620765,126.9214324,37.48243015
송이로23길,11710,11710632,127.1259416,37.49624664
관악로28길,11620,11620575,126.9585609,37.48498985
관악로30길,11620,11620545,126.9589559,37.48646764
관천로15길,11620,11620685,126.9201722,37.48730376
관천로22길,11620,11620695,126.9246372,37.48863117
개포로17길,11680,11680690,127.0469537,37.48022145
개포로20길,11680,11680690,127.0474831,37.47706771
사당로16가길,11590,11590650,126.9704903,37.48304725
세무서길,11410,11410640,126.9464665,37.59052816
양재대로62길,11710,11710620,127.1182774,37.4980836
양재대로64길,11710,11710620,127.1220788,37.49913391
양재대로71길,11710,11710561,127.1255472,37.51058205
양재대로72길,11710,11710570,127.1286218,37.50947952
오금로11길,11710,11710562,127.1116272,37.51283051
오금로36길,11710,11710620,127.1250233,37.50164464
독산로78다길,11545,11545640,126.9043416,37.47019085
동남로20길,11710,11710632,127.1350225,37.49639879
마천로51길,11710,11710550,127.1518164,37.49683792
백제고분로21길,11710,11710610,127.0907951,37.50562231
백제고분로22길,11710,11710610,127.0883028,37.50207424
백제고분로31길,11710,11710610,127.095058,37.50487112
백제고분로32길,11710,11710610,127.0944076,37.50033058
송이로32길,11710,11710641,127.1267541,37.4885782
