name,ESTABLISH,address,telno,HPADDR,OPERTIME,lng,lat
서울정심초등학교병설유치원,공립(병설),서울특별시 금천구 독산로78다길 89,02-851-7792,http://www.jungshim.es.kr,09시20분~19시30분,126.9083194,37.4717104
서울솔방울유치원,공립(단설),서울특별시 송파구 오금로24길 25,02-6481-6001,https://www.서울솔방울유치원.kr:497/home/,09시30분~20시00분,127.1174041,37.5048591
란키즈유치원,사립(사인),서울특별시 송파구 새말로8길 22-5,.02-404-4045,,09시00분~19시00분,127.1262919,37.4807678
서울신현초등학교병설유치원,공립(병설),서울특별시 중랑구 봉화산로 188,02-6956-0147,http://shinhyun.sen.es.kr/,09시30분~19시30분,127.0934712,37.6057842
다우림유치원,사립(사인),서울특별시 은평구 증산로21길 22,.02-375-2237,,09시00분~17시00분,126.9123345,37.5962346
서울소의초등학교병설유치원,공립(병설),서울특별시 마포구 마포대로24길 42,02-362-6512,http://soeui.sen.es.kr,09시00분~19시30분,126.9606729,37.5525105
서울상계초등학교병설유치원,공립(병설),서울특별시 노원구 상계로9길 39,02-933-6888,http://www.sanggye.es.kr,09시00분~16시00분,127.0662315,37.6593454
서울신구유치원,공립(단설),서울특별시 강남구 압구정로18길 28,02-3446-7480,http://서울신구유치원.kr/,09시30분~17시30분,127.0240581,37.523272
서울세명유치원,공립(단설),서울특별시 강남구 자곡로 55,02-3411-0890,http://www.서울세명유치원.kr,09시30분~17시30분,127.0910368,37.468707
한신유치원,사립(법인),서울특별시 서초구 잠원로3길 31,02-593-3100,,09시00분~17시00분,127.0047772,37.5090548
서울강월초등학교병설유치원,공립(병설),서울특별시 양천구 신월로 97,02-2605-1702,http://gangwol.es.kr/,09시30분~17시30분,126.8340784,37.516107
강남유치원,사립(사인),서울특별시 강남구 선릉로129길 31,02-546-1673,http://www.knk.or.kr,08시40분~17시40분,127.0390458,37.5154927
서울연광초등학교병설유치원,공립(병설),서울특별시 은평구 연서로35길 37,02-353-5977,http://www.yeonkwang.es.kr,09시00분~17시00분,126.9240864,37.6239138
서울원명초등학교병설유치원,공립(병설),서울특별시 서초구 고무래로 90-6,02-593-4490,http://www.wonmyong.es.kr/index/index.do,09시00분~17시00분,127.0166394,37.5006572
홍익대학교사범대학부속유치원,사립(법인),서울특별시 마포구 성미산로 111,02-3140-1107,http://www.hiuk.kg.kr,09시00분~17시00분,126.9193604,37.5629881
서울마장초등학교병설유치원,공립(병설),서울특별시 성동구 마장로35나길 31,02-2282-2831,http://www.majang.es.kr,09시00분~19시30분,127.0421148,37.5682918
서울우솔초등학교병설유치원,공립(병설),서울특별시 서초구 양재대로2길 74,3463-9073,http://www.woosol.es.kr,09시00분~17시00분,127.019279,37.4570592
서울언주초등학교병설유치원,공립(병설),서울특별시 강남구 남부순환로363길 19,02-3462-5280,http://www.eonju.es.kr,09시00분~19시30분,127.0367819,37.4865596
서울개원초등학교병설유치원,공립(병설),서울특별시 강남구 선릉로 29,02-574-1231,http://www.gaewon.es.kr,09시00분~20시00분,127.0586929,37.4813839
한별유치원,사립(사인),서울특별시 관악구 남부순환로144길 65,02-855-6659,http://www.hanbyeol.co.kr,09시00분~18시00분,126.9135018,37.4784169
서울백산초등학교병설유치원,공립(병설),서울특별시 금천구 시흥대로38길 78,02-803-5883,http://backsan.sen.es.kr/112708/subMenu.do,09시30분~20시00분,126.9052701,37.4466872
서울아람유치원,사립(사인),서울특별시 구로구 고척로25길 62,02-2612-3269,,09시00분~18시30분,126.846133,37.5045931
성모유치원,사립(법인),서울특별시 영등포구 가마산로89길 7,02-842-2903,http://cafe.daum.net/ntdsm,09시00분~18시00분,126.9211873,37.5053294
새서울유치원,사립(사인),서울특별시 양천구 목동서로 340,02-2646-1100,http://www.새서울유치원.com,09시00분~17시00분,126.8635267,37.5188449
샘터유치원,사립(사인),서울특별시 양천구 신월로 99,02-2691-1424,http://www.isaemter.co.kr,09시00분~17시00분,126.8342108,37.5177753
서울경인유치원,공립(단설),서울특별시 양천구 안양천로 1009,02-2646-4906,http://www.서울경인유치원.com,09시00분~20시00분,126.8863263,37.532929
서울공항초등학교병설유치원,공립(병설),서울특별시 강서구 마곡서1로 68,02-2661-4560,http://www.konghang.es.kr,09시30분~20시00분,126.8216429,37.5630894
새일문유치원,사립(사인),서울특별시 동대문구 장한로 165,02-2212-6229,http://cafe.naver.com/saeilmoon,09시00분~18시30분,127.0716761,37.5751686
서울중곡초등학교병설유치원,공립(병설),서울특별시 중랑구 면목로23길 20,02-2209-1281,http://cg.sen.es.kr/167553/subMenu.do,09시00분~20시00분,127.0838531,37.574597
한울유치원,사립(사인),서울특별시 노원구 덕릉로122길 12-6,02-935-3345,http:// www.hanulkid.co.kr,09시00분~17시00분,127.0808184,37.6684973
햇살유치원,사립(사인),서울특별시 도봉구 우이천로32길 38,02-904-6248,,09시00분~17시00분,127.0252454,37.6492197
효천유치원,사립(사인),서울특별시 노원구 중계로18길 14,02-930-8891,http://hyochunkids.com/,09시00분~17시00분,127.0782191,37.6513755
궁전유치원,사립(사인),서울특별시 은평구 갈현로33길 24,02-383-1667,http://kj16667.happyihome.com,09시00분~17시00분,126.9141669,37.6220839
꿀벌유치원,사립(사인),서울특별시 송파구 양산로8길 8,02-3401-1752,,09시00분~19시30분,127.1444814,37.4909477
송원유치원,사립(사인),서울특별시 강동구 성안로 64,02-476-8938,,09시00분~18시00분,127.1316333,37.5291939
행복한유치원,사립(사인),서울특별시 도봉구 시루봉로6길 86,02-900-8001,,09시00분~17시00분,127.0321759,37.6591881
성아유치원,사립(사인),서울특별시 은평구 응암로14길 21,02-303-6004,http://sungakids.moapp.kr,09시00분~20시00분,126.919696,37.589905
성균관유치원,사립(사인),서울특별시 은평구 연서로27길 23,02-356-5373,http://www.skkokok.com,09시00분~17시00분,126.9169405,37.6182981
백주유치원,사립(사인),서울특별시 동대문구 서울시립대로18길 19,02-2249-5170,http://cafe.daum.net/baekjukids,08시00분~19시00분,127.0528029,37.5806322
동산유치원,사립(법인),서울특별시 은평구 증산서길 53-9,02-372-3030,http://dongsankid.kidis.co.kr,09시00분~17시00분,126.904405,37.5817449
강변유치원,사립(법인),서울특별시 용산구 이촌로84길 9-7,02-792-2652,,09시00분~17시00분,126.9774032,37.518309
개동유치원,사립(법인),서울특별시 성북구 보국문로 143,02-915-5721,https://cafe.naver.com/kaedongyuchiwon20,09시00분~17시00분,127.0049982,37.6158297
영광유치원,사립(사인),서울특별시 성북구 북악산로 913,02-923-5900,http://cafe.daum.net/ykkindergarten,09시00분~18시30분,127.023405,37.5958815
은영유치원,사립(법인),서울특별시 성북구 보문사길 18,02-926-9278,http://cafe.daum.net/dmsdud9278,09시00분~18시00분,127.0166907,37.5846258
솔샘유치원,사립(사인),서울특별시 양천구 목동서로 130,02-2646-2343,,09시30분~20시00분,126.8715989,37.5319242
한나유치원,사립(사인),서울특별시 강서구 금낭화로 287-19,02-2666-1004,,09시30분~20시00분,126.810416,37.577231
화곡유치원,사립(법인),서울특별시 강서구 까치산로 60,02-2697-3104,,09시00분~19시00분,126.8466017,37.5439457
정훈유치원,사립(사인),서울특별시 구로구 경인로 382,02-2683-6833,,08시00분~17시00분,126.8625384,37.4952643
큰나무유치원,사립(사인),서울특별시 영등포구 도신로 31,02-832-3904,http://bigtreekid.co.kr,09시00분~18시00분,126.895455,37.505443
평강유치원,사립(사인),서울특별시 영등포구 신길로 27,02-848-0502,,09시00분~17시00분,126.9081736,37.494938
선희유치원,사립(사인),서울특별시 도봉구 해등로 241,02-906-1614,,09시00분~18시30분,127.029896,37.6575835
슬기유치원,사립(사인),서울특별시 도봉구 도봉로180나길 33-29,02-954-7771,http://www.seulgi.co.kr,09시00분~17시00분,127.0478424,37.6846434
영은유치원,사립(사인),서울특별시 노원구 동일로213길 78,02-932-1001,,07시00분~20시00분,127.0576124,37.6481222
서울마포초등학교병설유치원,공립(병설),서울특별시 마포구 도화2길 64,02-712-1170,http://mapo.sen.es.kr/140251/subMenu.do,09시30분~19시30분,126.9494735,37.5384634
서울상암초등학교병설유치원,공립(병설),서울특별시 마포구 월드컵북로 353,02-376-4110,http://www.sangam.es.kr,09시00분~17시00분,126.8920638,37.5764307
서울신도초등학교병설유치원,공립(병설),서울특별시 은평구 진관1로 77-23,02-352-3693,http://www.sindo.es.kr,09시00분~19시00분,126.9292019,37.6329345
서일유치원,사립(사인),서울특별시 마포구 새터산16길 14,02-308-2114,http://www.seoilkids.com,09시00분~20시00분,126.9082025,37.5674627
선경유치원,사립(법인),서울특별시 광진구 뚝섬로66길 14,02-447-0852,http://www.sk-kinder.net,09시00분~18시00분,127.0898897,37.5334389
성산유치원,사립(법인),서울특별시 광진구 뚝섬로59길 18,02-455-0581,,09시00분~17시00분,127.084171,37.5329081
자양유치원,사립(사인),서울특별시 광진구 자양로5길 36,02-446-4345,http://www.jayangkids.com/,09시00분~20시00분,127.0837848,37.5311751
프라임유치원,사립(사인),서울특별시 광진구 광나루로56길 5,02-453-0671,http://www.primekid.co.kr,09시30분~17시00분,127.0973514,37.537686
서울신천초등학교병설유치원,공립(병설),서울특별시 송파구 올림픽로 215,02-412-5488,http://www.서울신천병설유치원.com/,09시00분~17시00분,127.0953993,37.5138113
장미유치원,사립(법인),서울특별시 송파구 올림픽로35길 118,02-424-0090,http://www.jangmikid.kr,09시00분~17시30분,127.1008361,37.5179255
연유치원,사립(사인),서울특별시 서대문구 명지대길 39-4,02-307-4091,http://cafe.daum.net/yeunkids,09시00분~19시00분,126.9240694,37.5818447
도곡렉슬유치원,사립(사인),서울특별시 강남구 선릉로 221,02-579-7736,,09시00분~18시00분,127.0506359,37.4935287
두산효자유치원,사립(사인),서울특별시 성북구 화랑로48길 16,02-963-8334,http://dshyoja.kidswon.com,09시00분~17시00분,127.0687991,37.6125481
동원유치원,사립(사인),서울특별시 관악구 행운1길 96,02-875-3456,,09시00분~17시00분,126.9565734,37.4828328
서울관악초등학교병설유치원,공립(병설),서울특별시 관악구 청룡4길 49,02-883-0932,http://seoul-kwanak.sen.es.kr,09시00분~17시00분,126.9428751,37.4808279
키즈위즈유치원,사립(사인),서울특별시 노원구 덕릉로86길 65,02-930-5525,,09시00분~16시00분,127.0787221,37.6611106
새싹유치원,사립(법인),서울특별시 성북구 정릉로 282,02-914-6529,http://www.saessakid.co.kr,09시10분~16시50분,127.0145446,37.6031332
한영중고등학교병설한영유치원,사립(법인),서울특별시 강동구 동남로 832,02-426-1697,,09시00분~17시00분,127.1581016,37.5488933
서울월촌초등학교병설유치원,공립(병설),서울특별시 양천구 목동중앙로 132,02-2643-3477,http://www.swc.kg.kr,09시30분~17시30분,126.87645,37.5403951
선미유치원,사립(법인),서울특별시 강서구 까치산로2길 43,02-2606-3341,https://cafe.naver.com/sunmikinder3341,09시00분~18시00분,126.8436403,37.5393305
솔밭유치원,사립(사인),서울특별시 양천구 신월로10길 2-1,02-2693-0242,,09시00분~18시00분,126.8401178,37.5169054
미림유치원,사립(사인),서울특별시 구로구 개봉로18길 37,02-2612-1006,http://www.미림유치원.kr/,09시30분~19시20분,126.8579799,37.4908773
예일유치원,사립(사인),서울특별시 동대문구 사가정로 190,02-2215-0084,,09시00분~18시00분,127.0650026,37.5774226
은하유치원,사립(법인),서울특별시 영등포구 당산로28길 11,02-2068-0109,,08시30분~18시00분,126.8981898,37.5248319
서울은로초등학교병설유치원,공립(병설),서울특별시 동작구 서달로 115,02-826-5787,http://eunlo.sen.es.kr/index.do,09시00분~19시00분,126.9602142,37.5032286
서울은천초등학교병설유치원,공립(병설),서울특별시 관악구 은천로 69,02-883-6421,http://www.euncheon.kg.kr,09시00분~20시00분,126.9428019,37.4868282
예림유치원,사립(사인),서울특별시 동작구 현충로 151,02-817-1455,http://www.enterkids.com/yerim/,09시00분~17시00분,126.9703021,37.5065607
보나유치원,사립(사인),서울특별시 도봉구 해등로 307,02-956-3197,,09시00분~17시00분,127.0218935,37.6568056
공릉 사라유치원,사립(사인),서울특별시 노원구 동일로198가길 13,02-974-7766,http://cafe.naver.com/sarayouchwon,09시00분~19시00분,127.0718911,37.6298723
상원유치원,사립(사인),서울특별시 노원구 노원로19길 33,02-949-0217,,09시00분~19시00분,127.0687851,37.6445437
서울수락초등학교병설유치원,공립(병설),서울특별시 노원구 동일로 1745,02-951-4146,http://www.surak.es.kr,09시00분~20시00분,127.0547845,37.6843659
육사유치원,사립(사인),서울특별시 노원구 화랑로 574,02-972-0451,,09시30분~17시30분,127.0986687,37.6236916
이레유치원,사립(사인),서울특별시 노원구 월계로55길 16,02-979-8293~4,http://jireh.kidis.co.kr/,09시00분~20시00분,127.0611171,37.6325713
정의유치원,사립(법인),서울특별시 도봉구 노해로49길 69,02-992-5108,http://www.jeongeui.kg.kr/main/main.html,09시00분~19시00분,127.0317587,37.6529135
청아유치원,사립(사인),서울특별시 도봉구 노해로69가길 11,02-907-3811,https://cheonga.kidsnote.ac,09시00분~17시00분,127.0492272,37.6578671
배영유치원,사립(사인),서울특별시 마포구 잔다리로6길 11,02-334-3405,http://www.bykkid.co.kr,09시00분~18시00분,126.9198173,37.5525043
영암유치원,사립(법인),서울특별시 성북구 안암로7길 66,02-922-4773,https://cafe.naver.com/youngahmkindergarten,09시00분~20시00분,127.0234596,37.5821681
성신유치원,사립(법인),서울특별시 성북구 보문로34다길 2,02-920-7384,http://www.sskid.or.kr,09시30분~18시00분,127.0217818,37.5918494
영동제일유치원,사립(사인),서울특별시 강남구 삼성로120길 28,02-544-3111,,09시00분~17시00분,127.0534312,37.5175461
석문유치원,사립(법인),서울특별시 서초구 서초대로64길 73,02-585-5881,https://cafe.naver.com/smu5881,09시00분~18시00분,127.0218106,37.4926448
여나유치원,사립(사인),서울특별시 서초구 서초중앙로 200,02-536-1116,,09시00분~16시10분,127.0156289,37.4983692
영유유치원,사립(사인),서울특별시 서초구 효령로34길 72,02-586-7516,,09시00분~18시00분,127.0007487,37.4786374
서울충무초등학교병설유치원,공립(병설),서울특별시 중구 퇴계로50길 13,02-2265-4840,http://www.seoulchungmu.es.kr,09시00분~17시00분,127.0014252,37.5619627
