gugun,dong,population,movein,moveout,oneperson,twoperson,threeperson,fourperson,fiveperson,sixperson,sevenperson,eightperson,nineperson,tenperson
종로구,사직동,9806,1739,1721,2427,952,700,524,136,24,18,3,-,3
종로구,삼청동,2909,387,492,638,260,162,135,43,16,5,-,-,-
종로구,부암동,10333,1359,1421,1666,1002,751,623,183,46,16,3,1,3
종로구,평창동,18582,2267,2507,2462,1810,1462,1316,377,70,18,12,4,1
종로구,무악동,8592,984,1151,679,714,737,725,180,25,12,1,1,1
종로구,교남동,10634,1709,1816,1598,1075,920,706,129,31,6,2,1,-
종로구,가회동,4418,597,647,938,439,326,220,65,20,6,4,-,1
종로구,종로1.2.3.4가동,8448,1803,1719,4214,530,279,191,45,15,3,2,-,-
종로구,종로5·6가동,5656,1050,1120,2463,505,273,170,43,8,3,1,-,-
종로구,이화동,8111,1397,1619,2673,747,450,324,86,14,9,-,1,-
종로구,창신1동,5964,755,857,1769,574,316,188,66,12,5,-,-,-
종로구,창신2동,9503,792,989,2056,950,566,417,133,28,5,1,-,-
종로구,창신3동,7107,934,1125,887,704,635,414,137,30,1,3,-,-
종로구,숭인1동,6388,919,1027,1461,687,441,321,87,20,5,-,1,-
종로구,숭인2동,10178,2234,1944,4209,935,489,358,88,16,4,-,-,-
종로구,청운효자동,12633,1629,1932,1985,1142,1008,811,220,50,13,5,3,-
종로구,혜화동,19734,3077,3167,5750,1464,1042,820,213,55,20,6,1,3
중구,소공동,3011,583,572,708,208,190,71,15,4,1,-,1,1
중구,회현동,5757,781,858,1960,448,291,229,63,11,9,2,1,-
중구,명동,3685,509,526,1094,235,131,75,22,5,3,1,-,3
중구,필동,4754,878,825,1572,415,217,155,44,9,2,1,-,1
중구,장충동,5468,972,1002,1739,431,246,191,60,18,4,1,1,1
중구,광희동,6416,1280,949,2293,575,285,169,46,16,2,1,-,2
중구,을지로동,1967,482,460,1096,170,51,33,10,3,1,-,-,-
중구,신당5동,10867,1674,1702,2726,1213,744,535,148,27,6,3,1,-
중구,황학동,13531,2468,2572,3857,1509,890,549,128,26,7,1,1,1
중구,중림동,12801,2061,2249,2530,1280,1029,757,154,38,13,2,-,-
중구,신당동,9191,1717,1546,3006,838,438,294,71,22,3,-,-,-
중구,다산동,14725,1947,2237,3238,1668,1020,791,184,37,15,3,1,2
중구,약수동,17354,2103,2488,2948,2106,1468,915,225,69,12,4,-,4
중구,청구동,14281,1983,2214,2562,1580,1111,855,206,49,6,2,3,1
중구,동화동,10827,1339,1533,1187,1019,905,769,210,57,17,5,1,1
중구,동화동,10827,1339,1533,1187,1019,905,769,210,57,17,5,1,1
용산구,후암동,18202,2427,2612,4159,1823,1312,921,242,61,14,6,4,6
용산구,용산2가동,11272,1288,1706,2882,1221,699,427,117,19,5,2,-,-
용산구,남영동,8116,1872,1955,4131,608,291,230,51,16,5,1,-,1
용산구,원효로2동,14331,1916,2299,2284,1362,1183,968,229,62,12,4,4,3
용산구,효창동,10326,1827,1838,1598,1009,867,697,173,51,6,3,1,-
용산구,용문동,12455,1874,1999,2032,1340,1022,780,183,48,8,4,2,-
용산구,이촌1동,28961,3239,3462,2136,2364,2602,2352,510,128,33,8,4,1
용산구,이촌2동,8808,1274,1479,1287,1054,737,498,138,26,10,3,1,-
용산구,이태원1동,8764,1390,1306,2298,772,456,265,73,21,5,1,-,1
용산구,이태원2동,10795,1480,1441,2715,1091,651,399,97,33,5,-,1,2
용산구,서빙고동,14000,2305,2431,1780,1146,943,1035,307,68,15,2,-,-
용산구,보광동,15531,2144,2165,4195,1695,971,623,158,36,7,1,-,-
용산구,청파동,20496,3764,3736,6741,2043,1176,859,212,55,15,3,1,4
용산구,원효로1동,16730,3485,3461,3979,1702,1237,936,178,41,8,4,3,1
용산구,한강로동,22097,6053,3647,6235,2481,1474,1089,204,64,16,7,3,2
용산구,한남동,23761,3944,3448,6045,2392,1432,940,252,73,14,9,1,1
용산구,한남동,23761,3944,3448,6045,2392,1432,940,252,73,14,9,1,1
성동구,왕십리2동,17416,2663,2981,3008,1765,1414,1109,227,69,11,4,-,1
성동구,마장동,23459,3300,3831,5036,2402,1646,1382,324,78,15,11,2,3
성동구,사근동,13512,3280,3058,5729,990,553,448,123,22,7,-,-,-
