gugun,dong,movein,moveout
종로구,사직동,1739 ,1721 
종로구,삼청동,387 ,492 
종로구,부암동,1359 ,1421 
종로구,평창동,2267 ,2507 
종로구,무악동,984 ,1151 
종로구,교남동,1709 ,1816 
종로구,가회동,597 ,647 
종로구,종로1.2.3.4가동,1803 ,1719 
종로구,종로5·6가동,1050 ,1120 
종로구,이화동,1397 ,1619 
종로구,창신1동,755 ,857 
종로구,창신2동,792 ,989 
종로구,창신3동,934 ,1125 
종로구,숭인1동,919 ,1027 
종로구,숭인2동,2234 ,1944 
종로구,청운효자동,1629 ,1932 
종로구,혜화동,3077 ,3167 
종로구,혜화동,3077 ,3167 
중구,소공동,583 ,572 
중구,회현동,781 ,858 
중구,명동,509 ,526 
중구,필동,878 ,825 
중구,장충동,972 ,1002 
중구,광희동,1280 ,949 
중구,을지로동,482 ,460 
중구,신당5동,1674 ,1702 
중구,황학동,2468 ,2572 
중구,중림동,2061 ,2249 
중구,신당동,1717 ,1546 
중구,다산동,1947 ,2237 
중구,약수동,2103 ,2488 
중구,청구동,1983 ,2214 
중구,동화동,1339 ,1533 
중구,동화동,1339 ,1533 
용산구,후암동,2427 ,2612 
용산구,용산2가동,1288 ,1706 
용산구,남영동,1872 ,1955 
용산구,원효로2동,1916 ,2299 
용산구,효창동,1827 ,1838 
용산구,용문동,1874 ,1999 
용산구,이촌1동,3239 ,3462 
용산구,이촌2동,1274 ,1479 
용산구,이태원1동,1390 ,1306 
용산구,이태원2동,1480 ,1441 
용산구,서빙고동,2305 ,2431 
용산구,보광동,2144 ,2165 
용산구,청파동,3764 ,3736 
용산구,원효로1동,3485 ,3461 
용산구,한강로동,6053 ,3647 
용산구,한남동,3944 ,3448 
용산구,한남동,3944 ,3448 
성동구,왕십리2동,2663 ,2981 
성동구,마장동,3300 ,3831 
성동구,사근동,3280 ,3058 
성동구,행당1동,2293 ,4253 
성동구,행당2동,3145 ,3675 
성동구,응봉동,1941 ,2330 
성동구,금호1가동,2275 ,2505 
성동구,금호4가동,2111 ,2530 
성동구,성수1가1동,2784 ,3105 
성동구,성수1가2동,2031 ,2947 
성동구,성수2가1동,2277 ,2728 
성동구,성수2가3동,2129 ,2302 
성동구,송정동,1533 ,1750 
성동구,용답동,2041 ,2440 
성동구,왕십리도선동,4271 ,4535 
성동구,금호2.3가동,3229 ,3848 
성동구,옥수동,3850 ,4278 
성동구,옥수동,3850 ,4278 
광진구,화양동,6898 ,6275 
광진구,군자동,3762 ,3681 
광진구,중곡1동,3033 ,3113 
광진구,중곡2동,3551 ,3823 
광진구,중곡3동,2579 ,2948 
광진구,중곡4동,3898 ,4629 
광진구,능동,2468 ,2471 
광진구,구의1동,4138 ,4410 
광진구,구의2동,3537 ,4015 
광진구,구의3동,4220 ,4731 
광진구,광장동,4388 ,4887 
광진구,자양1동,4032 ,4294 
광진구,자양2동,3329 ,4162 
광진구,자양3동,3681 ,4242 
광진구,자양4동,2412 ,3022 
광진구,자양4동,2412 ,3022 
동대문구,회기동,2513 ,2339 
동대문구,휘경1동,3557 ,4485 
동대문구,휘경2동,4171 ,4198 
동대문구,청량리동,2393 ,3555 
동대문구,용신동,6355 ,5712 
동대문구,제기동,4098 ,3939 
동대문구,전농1동,4521 ,4836 
동대문구,전농2동,2331 ,2618 
동대문구,답십리2동,3491 ,4489 
동대문구,장안1동,5867 ,5687 
동대문구,장안2동,4700 ,4439 
동대문구,이문1동,3627 ,3942 
동대문구,이문2동,2492 ,2704 
동대문구,답십리1동,4792 ,5192 
동대문구,답십리1동,4792 ,5192 
중랑구,면목2동,3237 ,3914 
중랑구,면목4동,2454 ,3227 
중랑구,면목5동,6496 ,1681 
중랑구,면목7동,4176 ,3665 
중랑구,상봉1동,3063 ,3634 
중랑구,상봉2동,4563 ,4204 
중랑구,중화1동,2956 ,3475 
중랑구,중화2동,3693 ,4768 
중랑구,묵1동,4678 ,5109 
중랑구,묵2동,2821 ,3048 
중랑구,망우3동,2264 ,2665 
중랑구,신내1동,3855 ,4818 
중랑구,신내2동,2514 ,3107 
중랑구,면목본동,5368 ,6063 
중랑구,면목3.8동,3899 ,4437 
중랑구,망우본동,4177 ,4397 
중랑구,망우본동,4177 ,4397 
성북구,돈암1동,1734 ,2266 
성북구,돈암2동,2970 ,3306 
성북구,안암동,3652 ,3930 
성북구,보문동,2541 ,3053 
성북구,정릉1동,2572 ,2837 
성북구,정릉2동,3416 ,3448 
성북구,정릉3동,2746 ,2808 
성북구,정릉4동,2910 ,3676 
성북구,길음1동,4293 ,4860 
성북구,길음2동,2795 ,2287 
성북구,월곡1동,2885 ,3303 
성북구,월곡2동,3286 ,3267 
성북구,장위1동,2783 ,2848 
성북구,장위2동,2290 ,2092 
성북구,장위3동,2487 ,2711 
성북구,성북동,2863 ,3017 
성북구,삼선동,3386 ,5088 
성북구,동선동,3817 ,3620 
성북구,종암동,4744 ,5133 
성북구,석관동,4783 ,4681 
성북구,석관동,4783 ,4681 
강북구,번1동,3439 ,3543 
강북구,번2동,1802 ,2264 
강북구,번3동,1739 ,2245 
강북구,수유1동,2932 ,3236 
강북구,수유2동,2802 ,3054 
강북구,수유3동,4352 ,4411 
강북구,삼양동,3036 ,3770 
강북구,미아동,3890 ,3885 
강북구,송중동,4134 ,4304 
강북구,송천동,3436 ,4028 
강북구,삼각산동,3393 ,4202 
강북구,우이동,2871 ,3120 
강북구,인수동,3799 ,4594 
강북구,인수동,3799 ,4594 
도봉구,쌍문1동,2825 ,3104 
도봉구,쌍문2동,2628 ,3147 
도봉구,쌍문3동,2300 ,2585 
도봉구,쌍문4동,2330 ,2790 
도봉구,방학1동,3810 ,4515 
도봉구,방학2동,2423 ,2988 
도봉구,방학3동,2955 ,3729 
도봉구,창1동,3107 ,3953 
도봉구,창2동,3430 ,4002 
도봉구,창3동,1749 ,2061 
도봉구,창4동,3182 ,3761 
도봉구,창5동,3415 ,3902 
도봉구,도봉1동,2535 ,2897 
도봉구,도봉2동,3746 ,4458 
도봉구,도봉2동,3746 ,4458 
노원구,월계1동,3095 ,3819 
노원구,월계2동,3514 ,3130 
노원구,월계3동,3502 ,4321 
노원구,공릉2동,5279 ,6002 
노원구,하계1동,3221 ,4384 
노원구,하계2동,2384 ,2930 
노원구,중계본동,2840 ,3711 
노원구,중계1동,3795 ,4257 
노원구,중계4동,2605 ,3099 
노원구,상계1동,4277 ,5102 
노원구,상계2동,2958 ,3433 
노원구,상계5동,3151 ,3736 
노원구,상계8동,3074 ,4296 
노원구,상계9동,2730 ,3481 
노원구,상계10동,3586 ,2626 
노원구,상계3.4동,4577 ,3081 
노원구,상계6.7동,4457 ,5505 
노원구,중계2.3동,3607 ,4644 
노원구,공릉1동,5524 ,6150 
노원구,공릉1동,5524 ,6150 
은평구,녹번동,6116 ,6715 
은평구,불광1동,5580 ,6436 
은평구,갈현1동,2991 ,4031 
은평구,갈현2동,3947 ,4792 
은평구,구산동,4011 ,4672 
은평구,대조동,5116 ,5357 
은평구,응암1동,10055 ,4458 
은평구,응암2동,5655 ,3502 
은평구,신사1동,3916 ,4658 
은평구,신사2동,2649 ,3535 
은평구,증산동,2052 ,2699 
은평구,수색동,3782 ,1453 
은평구,진관동,6414 ,7170 
은평구,불광2동,3833 ,4567 
은평구,응암3동,3909 ,4307 
은평구,역촌동,6338 ,7813 
은평구,역촌동,6338 ,7813 
서대문구,천연동,2392 ,2993 
서대문구,홍제1동,3314 ,3693 
서대문구,홍제3동,1872 ,2253 
서대문구,홍제2동,1896 ,2098 
서대문구,홍은1동,3629 ,3126 
서대문구,홍은2동,3739 ,4261 
서대문구,남가좌1동,2348 ,3122 
서대문구,남가좌2동,9173 ,4059 
서대문구,북가좌1동,2484 ,3077 
서대문구,북가좌2동,4208 ,5016 
서대문구,충현동,6232 ,3056 
서대문구,북아현동,2744 ,3299 
서대문구,신촌동,6412 ,5775 
서대문구,연희동,6061 ,7751 
서대문구,연희동,6061 ,7751 
마포구,용강동,3474 ,3645 
마포구,대흥동,5995 ,3132 
마포구,염리동,2259 ,2656 
마포구,신수동,3743 ,3941 
마포구,서교동,6836 ,5664 
마포구,합정동,3380 ,3763 
마포구,망원1동,3196 ,3866 
마포구,망원2동,2711 ,2889 
마포구,연남동,3183 ,3418 
마포구,성산1동,3073 ,3470 
마포구,성산2동,5748 ,6656 
마포구,상암동,4081 ,4887 
마포구,도화동,2947 ,3558 
마포구,서강동,4155 ,4670 
마포구,공덕동,6271 ,7985 
마포구,아현동,5163 ,4467 
마포구,아현동,5163 ,4467 
양천구,목1동,4168 ,4542 
양천구,목2동,4722 ,5502 
양천구,목3동,3750 ,4290 
양천구,목4동,3319 ,3979 
양천구,신월1동,2573 ,3028 
양천구,신월2동,2745 ,3323 
