no,name,gugun,address,lat,lng
301,경복궁역 7번출구 앞,종로구,서울특별시 종로구 사직로 지하130,37.575794,126.971451
302,경복궁역 4번출구 뒤,종로구,서울특별시 종로구 사직로 지하130,37.575947,126.97406
303,광화문역 1번출구 앞,종로구,서울특별시 종로구 세종대로 지하189,37.57177,126.974663
304,광화문역 2번출구 앞,종로구,서울특별시 종로구 세종대로 지하172,37.572113,126.977577
305,종로구청 옆,종로구,서울특별시 종로구 삼봉로 43,37.572582,126.978355
306,광화문역 7번출구 앞,종로구,서울특별시 종로구 세종대로 지하172,37.570808,126.976433
307,서울역사박물관 앞,종로구,서울특별시 종로구 새문안로 55,37.57,126.9711
308,광화문 S타워 앞,종로구,서울특별시 종로구 새문안로 82,37.569969,126.973938
309,광화문역 6번출구 옆,종로구,서울특별시 종로구 세종대로 지하172,37.569889,126.976456
314,국립현대미술관,종로구,서울특별시 종로구 삼청로 30,37.579708,126.980858
316,종각역 1번출구 앞,종로구,서울특별시 종로구 종로 47,37.570396,126.981789
326,안국역 5번출구 앞,종로구,서울특별시 종로구 율곡로 지하62,37.576241,126.98616
327,낙원상가 옆,종로구,서울특별시 종로구 삼일대로 428,37.573357,126.987465
328,탑골공원 앞,종로구,서울특별시 종로구 종로 99,37.570396,126.98819
329,청계2가 사거리 옆,종로구,서울특별시 종로구 청계천로 93,37.568344,126.987892
334,종로3가역 2번출구 뒤,종로구,서울특별시 종로구 종로 지하129,37.570599,126.991791
335,종로3가역 15번출구 앞,종로구,서울특별시 종로구 종로 지하129,37.570198,126.991257
337,창경궁 입구,종로구,서울특별시 종로구 창경궁로 185,37.578979,126.996475
338,세운스퀘어 앞,종로구,서울특별시 종로구 창경궁로 109,37.570957,126.997124
339,종로4가 사거리,종로구,서울특별시 종로구 종로 185,37.571068,126.998192
340,혜화동 로터리,종로구,서울특별시 종로구 창경궁로 271-1,37.585629,127.000679
341,혜화역 3번출구 뒤,종로구,서울특별시 종로구 대학로 지하120,37.58157,127.001785
342,대학로 마로니에공원,종로구,서울특별시 종로구 대학로 104,37.579784,127.002533
343,예일빌딩(율곡로) 앞,종로구,서울특별시 종로구 율곡로 238,37.575432,127.004982
344,성균관대 E하우스 앞,종로구,서울특별시 종로구 율곡로 259,37.574036,127.006721
345,서울보증보험본사 앞,종로구,서울특별시 종로구 김상옥로 29,37.573307,127.00071
348,독립문역 사거리,종로구,서울특별시 종로구 교북동 10-1,37.572029,126.960785
349,사직동주민센터,종로구,서울특별시 종로구 사직로9길 5,37.576332,126.96859
351,청운초교 앞 삼거리,종로구,서울특별시 종로구 청운동 108-22,37.585079,126.970619
352,중앙고입구 삼거리,종로구,서울특별시 종로구 창덕궁길 191,37.583416,126.985237
353,재동초교 앞 삼거리,종로구,서울특별시 종로구 재동 19,37.579388,126.984947
354,포르투갈 대사관 앞,종로구,서울특별시 종로구 창덕궁1길 3,37.579155,126.98896
355,서울사대부속초교 앞,종로구,서울특별시 종로구 연건동 178-3,37.576508,127.002457
356,KT혜화지사 앞,종로구,서울특별시 종로구 대학로 65,37.577145,127.00206
358,성대입구 사거리,종로구,서울특별시 종로구 창경궁로 234,37.5825,126.998535
359,원남동사거리,종로구,서울특별시 종로구 율곡로 169,37.576061,126.997681
361,동묘앞역 1번출구 뒤,종로구,서울특별시 종로구 숭인동 81-39,37.573242,127.015907
362,청계8가 사거리,종로구,서울특별시 종로구 청계천로 407,37.572224,127.022705
363,신설동역 11번출구 뒤,종로구,서울특별시 종로구 숭인동 1311,37.57576,127.022835
364,창신역 1번출구 앞,종로구,서울특별시 종로구 지봉로 87,37.579334,127.015083
367,독립문역 3-1번출구,종로구,서울특별시 종로구 무악동 41-7,37.573849,126.958694
368,SK 서린빌딩 앞,종로구,서울특별시 종로구 서린동 93-2,37.569248,126.980537
369,광화문 시민열린마당,종로구,서울특별시 종로구 세종로 76-5,37.575493,126.9785
385,종각역 5번출구,종로구,서울특별시 종로구 서린동 26-1,37.569836,126.982658
388,동성중학교 앞,종로구,서울특별시 종로구 혜화동 56,37.585735,127.00161
393,동대문역 8번 출구,종로구,서울특별시 종로구 율곡로 지하 308,37.570141,127.009377
394,경희궁 자이 3단지,종로구,서울특별시 종로구 경교장길 35,37.56749,126.965919
395,경희궁 자이 2단지,종로구,서울특별시 종로구 송월길 99,37.568855,126.964561
397,종묘공영주차장 건너편,종로구,서울특별시 종로구 종로 지하 200,37.57048,126.996635
446,상명대입구,종로구,서울특별시 종로구 홍지문길 1,37.600128,126.957832
447,신영동삼거리,종로구,서울특별시 종로구 진흥로 499,37.603992,126.961945
449,일성아파트,종로구,서울특별시 종로구 평창문화로 119,37.608719,126.972862
450,효자동 삼거리,종로구,서울특별시 종로구 효자로13길 45,37.583603,126.972549
451,청와대앞길,종로구,서울특별시 종로구 청와대로 73,37.583515,126.979668
452,동대문 종합시장 버스정류장,종로구, 종로구 종로5가 11-2,37.571239,127.00441
453,종로오가 지하쇼핑센터 14번출구,종로구,종로5가 82-1 ,37.57114,127.000671
454,종로2가 버스정류장 (종각방향),종로구, 종로구 종로 79-1,37.570358,126.986382
455,삼익한의원,종로구,종로구 종로5가 269-3,37.570961,127.006058
456,숭인2동 주민센터 입구 (이강3대냉면),종로구, 종로구 숭인동 183-2,37.574471,127.019829
457,종로꽃시장 입구 옆,종로구,종로구 종로6가 94-1,37.57132,127.00721
458,광화문역 5번출구,종로구,종로구 세종로 1-68 ,37.569939,126.977539
461,서울지방경찰청,종로구,종로구 내자동 186-3 ,37.574364,126.972366
462,신영동삼거리(북악터널방향),종로구,종로구 평창문화로 6-4,37.603512,126.962067
464,삼청동 골목,종로구,종로구 팔판길 46,37.58419,126.981697
465,삼청공원 앞,종로구,서울특별시 종로구 삼청동 25-32,37.587605,126.983597
486,평창동주민센터 앞,종로구,서울특별시 종로구 평창동 187-2,,
3401,창신두산아파트,종로구,종로구 지봉로5길 7,37.573761,127.013939
3402,이화공영주차장,종로구,율곡로19길 17-3,37.576607,127.00557
