SCHUL_KND_SC_NM,FOND_SC_NM,SD_SCHUL_CODE,SCHUL_NM,ORG_TELNO,HMPG_ADRES,COEDU_SC_NM,HS_GNRL_BUSNS_SC_NM,SPCLY_PURPS_HS_ORD_NM,address,lng,lat
 고등학교 , 공립 , test003 , (미사용)서울케이고등학교 ,22308590, http:// , 남여공학 , 일반계 ,  ,서울특별시 종로구 송월길 48 ,197037,451956
 중학교 , 공립 , test002 , (미사용)서울케이중학교 , 2230-8590 , http:// , 남여공학 ,  ,  ,서울특별시 종로구 송월길 48 ,197037,451956
 초등학교 , 공립 , test001 , (미사용)서울케이초등학교 , 2230-8590 , http:// , 남여공학 ,  ,  ,서울특별시 종로구 송월길 48 ,197037,451956
 각종학교(중) , 사립 ,7134155, 선화예술중학교 , 02-2204-1100 , http://www.sunhwaarts.com , 남여공학 , 일반계 ,  ,서울특별시 광진구 천호대로 664 ,207675,449799
 초등학교 , 공립 ,7134150, 서울숭신초등학교 , 02-2252-5950 , http://soongshin.sen.es.kr , 남여공학 , 일반계 ,  ,서울특별시 성동구 마장로 161 ,202387,451706
 중학교 , 공립 ,7134142, 행당중학교 , 02-2292-2721 , http://www.haengdang.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 성동구 왕십리로 189 ,203665,450238
 중학교 , 사립 ,7134141, 한양대학교사범대학부속중학교 , 02-2200-3700 , http://hanyang-u.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 성동구 마조로 42 ,203732,451015
 중학교 , 공립 ,7134140, 자양중학교 , 02-446-0365 , http://www.jayang.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 광진구 뚝섬로41길 33 ,206519,448122
 중학교 , 공립 ,7134139, 용곡중학교 , 02-452-2622 , http://yonggok.sen.ms.kr/index.do , 남여공학 , 일반계 ,  ,서울특별시 광진구 용마산로22길 76 ,207785,451520
 중학교 , 공립 ,7134138, 옥정중학교 , 02-6021-2100 , http://okjung.sen.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 성동구 한림말길 11 ,201023,448805
 중학교 , 공립 ,7134137, 양진중학교 , 02-2049-1200 , http://www.yangjin.ms.kr , 남여공학 , 해당없음 ,  ,서울특별시 광진구 워커힐로 32 ,208608,449151
 중학교 , 공립 ,7134136, 신양중학교 , 02-461-1070 , http://shinyang.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 광진구 자양강변길 73 ,127.0631988,37.5334194
 중학교 , 공립 ,7134135, 성원중학교 , 02-3408-2558 , http://www.sungwon.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 성동구 성덕정9가길 13 ,127.0520024,37.5392769
 중학교 , 공립 ,7134134, 성수중학교 , 02-463-4786 , http://seongsu.sen.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 성동구 서울숲길 18 ,127.038486,37.5476555
 중학교 , 공립 ,7134132, 무학중학교 , 02-2298-6141 , http://muhakg.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 성동구 행당로 120 ,127.032509,37.557419
 중학교 , 공립 ,7134131, 마장중학교 , 02-2282-2933 , http://mj.sen.ms.kr , 남여공학 , 해당없음 ,  ,서울특별시 성동구 마장로35나길 31 ,127.0421148,37.5682918
 중학교 , 사립 ,7134130, 대원국제중학교 , 02-2204-1592 , http://daewon.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 광진구 용마산로22길 26 ,127.0891091,37.5631854
 중학교 , 공립 ,7134129, 동마중학교 , 02-2294-6085 , http://www.dongma.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 성동구 마조로11길 18 ,127.0402409,37.562591
 중학교 , 사립 ,7134128, 동국대학교사범대학부속여자중학교 , 02-6948-2280-2 , http://www.donggukgirls.ms.kr , 여 , 일반계 ,  ,서울특별시 광진구 광나루로36길 47 ,127.086791,37.5425876
 중학교 , 공립 ,7134127, 구의중학교 , 02-447-4798 , http://www.guui.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 광진구 광나루로30길 80 ,127.0788654,37.5429495
 중학교 , 공립 ,7134126, 광희중학교 , 02-2298-0250 , http://www.kwanghee.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 성동구 독서당로62길 46 ,127.0339601,37.5510966
 중학교 , 공립 ,7134125, 광진중학교 , 02-447-2886 , http://gwangjin.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 광진구 뚝섬로64길 45 ,127.0899489,37.532286
 중학교 , 공립 ,7134124, 광장중학교 , 02-452-0745 , http://www.gwangjang.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 광진구 광장로1길 1 ,127.1017741,37.5472438
 중학교 , 공립 ,7134123, 광양중학교 , 02-452-6922 , http://www.kwangyang.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 광진구 자양로3길 7 ,127.0860709,37.5302016
 중학교 , 공립 ,7134122, 광남중학교 , 02-456-8792 , http://www.gwangnam.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 광진구 아차산로70길 17-62 ,127.1013913,37.540483
