no,name,routename,lat,lng,address,telno
2545,군자,서울 도시철도 5호선,37.55713392,127.079433,서울특별시 광진구 천호대로 지하550,02-6311-5441
2546,아차산,서울 도시철도 5호선,37.55203633,127.0896015,서울특별시 광진구 천호대로 지하657,02-6311-5451
2547,광나루,서울 도시철도 5호선,37.5450481,127.1035121,서울특별시 광진구 아차산로 지하571 (광장동),02-6311-5461
2548,천호,서울 도시철도 5호선,37.53842355,127.1236234,서울특별시 강동구 천호대로 지하997 (천호동),02-6311-5471
2549,강동,서울 도시철도 5호선,37.53587886,127.132079,서울특별시 강동구 천호대로 지하1097 (천호동),02-6311-5481
2550,길동,서울 도시철도 5호선,37.53794494,127.1400433,서울특별시 강동구 양재대로 지하1480 (길동),02-6311-5491
2551,굽은다리,서울 도시철도 5호선,37.54537927,127.1428116,서울특별시 강동구 양재대로 지하1572 (명일동),02-6311-5501
2552,명일,서울 도시철도 5호선,37.55149734,127.1439883,서울특별시 강동구 양재대로 지하1632 (명일동),02-6311-5511
2553,고덕,서울 도시철도 5호선,37.55503473,127.1540785,서울특별시 강동구 고덕로 지하253 (고덕동),02-6311-5521
2554,상일동,서울 도시철도 5호선,37.55658759,127.1652632,서울특별시 강동구 고덕로 지하359 (상일동),02-6311-5531
2555,둔촌동,서울 도시철도 5호선,37.52774726,127.136296,서울특별시 강동구 양재대로 지하1369 (둔촌동),02-6311-5541
2556,올림픽공원,서울 도시철도 5호선,37.51620079,127.1308803,서울특별시 송파구 양재대로 지하1233,02-6311-5551
2557,방이,서울 도시철도 5호선,37.50865738,127.1260716,서울특별시 송파구 양재대로 지하1127 (방이동),02-6311-5561
2558,오금,서울 도시철도 5호선,37.50196105,127.1277379,서울특별시 송파구 오금로 지하 321 (오금동),02-6110-3521
2559,개롱,서울 도시철도 5호선,37.49782678,127.1348328,서울특별시 송파구 오금로 지하402 (가락동),02-6311-5581
2560,거여,서울 도시철도 5호선,37.49316744,127.1436672,서울특별시 송파구 오금로 지하499(거여동),02-6311-5591
2561,마천,서울 도시철도 5호선,37.49495884,127.152476,서울특별시 송파구 마천로57길 지하7(마천동),02-6311-5601
2611,응암,서울 도시철도 6호선,37.59853005,126.9155088,서울특별시 은평구 증산로 지하477 (역촌동),02-6311-6101
2612,역촌,서울 도시철도 6호선,37.60625985,126.9227732,서울특별시 은평구 서오릉로 지하63 (녹번동),02-6311-6111
2613,불광,서울 도시철도 6호선,37.61033354,126.9298281,서울특별시 은평구 통일로 지하 723-1 (대조동),02-6311-6121
2614,독바위,서울 도시철도 6호선,37.61844071,126.9329961,서울특별시 은평구 불광로 지하129-1 (불광동),02-6311-6131
2615,연신내,서울 도시철도 6호선,37.61881292,126.9206158,서울특별시 은평구 통일로 지하 849 (갈현동),02-6311-6141
2616,구산,서울 도시철도 6호선,37.61125852,126.9171923,서울특별시 은평구 연서로 지하137-1(구산동),02-6311-6151
2617,새절,서울 도시철도 6호선,37.59099413,126.9136601,서울특별시 은평구 증산로 지하400 (신사동,02-6311-6161
2618,증산,서울 도시철도 6호선,37.58375597,126.9094115,서울특별시 은평구 증산로 지하306(증산동),02-6311-6171
2619,디지털미디어시티,서울 도시철도 6호선,37.57663026,126.8996845,서울특별시 은평구 수색로 지하175 (증산동),02-6311-6181
2620,월드컵경기장,서울 도시철도 6호선,37.56938269,126.8990612,서울특별시 마포구 월드컵로 지하240 (성산동),02-6311-6191
2621,마포구청,서울 도시철도 6호선,37.56350657,126.9031935,서울특별시 마포구 월드컵로 지하190 (성산동),02-6311-6201
2622,망원,서울 도시철도 6호선,37.55594386,126.9098166,서울특별시 마포구 월드컵로 지하77 (망원동),02-6311-6211
2623,합정,서울 도시철도 6호선,37.54979888,126.9141239,서울특별시 마포구 양화로 지하 45,02-6311-6221
2624,상수,서울 도시철도 6호선,37.54776978,126.9225838,서울특별시 마포구 독막로 지하85 (상수동),02-6311-6231
2625,광흥창,서울 도시철도 6호선,37.54746977,126.9318177,서울특별시 마포구 독막로 지하 165,02-6311-6241
2626,대흥,서울 도시철도 6호선,37.54766489,126.9422206,서울특별시 마포구 대흥로 지하 85,02-6311-6251
2627,공덕,서울 도시철도 6호선,37.54354807,126.9518977,서울특별시 마포구 백범로 지하 200(공덕동),02-6311-5291
2628,효창공원앞,서울 도시철도 6호선,37.539542,126.961371,서울특별시 용산구 백범로 지하287 (효창동),02-6311-6271
2629,삼각지,서울 도시철도 6호선,37.53471155,126.9733777,서울특별시 용산구 한강대로 지하 180 (한강로1가),02-6311-6281
2630,녹사평,서울 도시철도 6호선,37.53464201,126.9867518,서울특별시 용산구 녹사평대로 지하195 (용산동4가),02-6311-6291
2631,이태원,서울 도시철도 6호선,37.53449861,126.994038,서울특별시 용산구 이태원로 지하177(이태원동),02-6311-6301
2632,한강진,서울 도시철도 6호선,37.53974445,127.0014826,서울특별시 용산구 이태원로 지하287 (한남동),02-6311-6311
2633,버티고개,서울 도시철도 6호선,37.54806951,127.0066086,서울특별시 중구 다산로 지하38 (신당동),02-6311-6321
2634,약수,서울 도시철도 6호선,37.5542519,127.0104682,서울특별시 중구 다산로 지하 155 (신당동),02-6311-6331
2635,청구,서울 도시철도 6호선,37.56021257,127.0135698,서울특별시 중구 청구로 지하77(신당동),02-6311-5371
2636,신당,서울 도시철도 6호선,37.56582912,127.0181023,서울특별시 중구 퇴계로 지하 431-1 (신당동),02-6311-6351
2637,동묘앞,서울 도시철도 6호선,37.57226031,127.0158732,서울특별시 종로구 종로 359 (숭인동),02-6311-6361
2638,창신,서울 도시철도 6호선,37.57934562,127.0151078,서울특별시 종로구 지봉로 지하112 (창신동),02-6311-6371
2639,보문,서울 도시철도 6호선,37.58543035,127.0192192,서울특별시 성북구 보문로 지하116 (보문동1가),02-6311-6381
2640,안암,서울 도시철도 6호선,37.58623045,127.0292203,서울특별시 성북구 고려대로 지하89 (안암동5가),02-6311-6391
2641,고려대,서울 도시철도 6호선,37.59033908,127.0358642,서울특별시 성북구 종암로 지하1 (종암동),02-6311-6401
2642,월곡,서울 도시철도 6호선,37.6020753,127.0414221,서울특별시 성북구 월곡로 지하107 (하월곡동),02-6311-6411
2643,상월곡,서울 도시철도 6호선,37.60632242,127.0485887,서울특별시 성북구 화랑로 지하157 (상월곡동),02-6311-6421
2644,돌곶이,서울 도시철도 6호선,37.61052771,127.0564482,서울특별시 성북구 화랑로 지하243 (석관동),02-6311-6431
2645,석계,서울 도시철도 6호선,37.61498323,127.0655612,서울특별시 노원구 화랑로 지하347-1 (월계동),02-6311-6441
